ID,PT,FREQ,SYMBOL,NAME,FREQ_REAL,SYMBOL_REAL,COMMENT
475,039E,12194,30000,,,,
476,039E,12223,13381,,,,
477,039E,12241,13381,,,,
478,039E,12252,30000,,,,
479,039E,12271,30000,,,,
480,039E,12290,30000,,,,
481,039E,12309,30000,,,,
482,039E,12328,30000,,,,
483,039E,12338,11567,,,,
484,039E,12352,11567,,,,
485,039E,12367,30000,,,,
486,039E,12386,28333,,,,
487,039E,12405,30000,,,,
488,039E,12414,11567,,,,
489,039E,12428,13200,,,,
490,039E,12439,4444,,,,
491,039E,12444,28333,,,,
492,039E,12463,30000,,,,
493,039E,12524,30000,,,,
494,039E,12551,7200,,,,
495,039E,12554,9000,,,,
496,039E,12560,7200,,,,
497,039E,12565,30000,,,,
498,039E,12565,9000,,,,
499,039E,12568,9600,,,,
500,039E,12578,7200,,,,
501,039E,12593,9600,,,,
502,039E,12600,19366,,,,
503,039E,12615,7200,,,,
504,039E,12618,7200,,,,
505,039E,12630,2500,,,,
506,039E,12631,7200,,,,
507,039E,12633,5000,,,,
508,039E,12634,7200,,,,
509,039E,12638,5000,,,,
510,039E,12641,7200,,,,
511,039E,12643,2500,,,,
512,039E,12656,16363,,,,
513,039E,12656,15155,,,,
514,039E,12677,9600,,,,
515,039E,12683,7200,,,,
516,039E,12688,30000,,,,
517,039E,12693,9370,,,,
518,039E,12699,9600,,,,
519,039E,12713,6666,,,,
520,039E,12716,7200,,,,
521,039E,12719,1580,,,,
522,039E,12721,1580,,,,
523,039E,12724,6250,,,,
524,039E,12731,1580,,,,
525,039E,12733,7200,,,,
526,039E,12736,7200,,,,
527,039E,12738,1182,,,,
528,039E,19167,6630,,,,
529,038E,3717,12000,,,,
530,038E,3730,1000,,,,
531,038E,3740,5600,,,,
532,038E,3746,1500,,,,
533,038E,3750,4800,,,,
534,038E,3755,7500,,,,
535,038E,3760,1003,,,,
536,038E,3763,4100,,,,
537,038E,3770,7700,,,,
538,038E,3783,6347,,,,
539,038E,3788,1080,,,,
540,038E,3793,4000,,,,
541,038E,3800,5500,,,,
542,038E,3813,16852,,,,
543,038E,3834,6500,,,,
544,038E,3838,4791,,,,
545,038E,3846,6600,,,,
546,038E,3856,2900,,,,
547,038E,3859,2833,,,,
548,038E,3862,1850,,,,
549,038E,3865,2080,,,,
550,038E,3912,2140,,,,
551,038E,3920,4000,,,,
552,038E,3932,4000,,,,
